V160001,dislikeDems,rephatesdems,demhatesreps
300910,THEY RUN UP THE DEBT  TOO HIGH//THEY GIVE TOO MUCH WELFARE//,1,0
300912,there is alot// to liberal,1,0
300925,They are consistently antifreedom.,1,0
300928,SPEND TOO MUCH MONEY,1,0
300937,Their lack of support for our military//their ideas of how to relieve the national debt,1,0
300947,"BIG GOV ENTITTLEMENT IMAGRATION ATTACK ON 2ND AMENDMENT RIGHT AND ATTACK ON RELIGON FREEDO,M//",1,0
300956,I don't like their platform that they stand on and believe in. //,1,0
300970,"Yes they want to control my life.//Well, that's the main thing.",1,0
300977,arrogance that know what is bettter for people than themselves. they are eliteist//horrible in economic and foreign policies//,1,0
300979,NATIONAL SECURITY IS NOT A PRIPORETE//,1,0
300982,"taxation programs, fiscal plans //",1,0
300983,"I think it changed alot since the years of Bill Clinton. it's getting quite radical.//It doesn't put the interests of its own country at the top instead of serving the whole world which is impossible.//It's too focused on idealogy, all kinds of things like the transgender issues.//The budgeting. There's no way in their policy to balance the budget.//",1,0
300991,everything//,1,0
301007,their deceitfulness//They think the American public are stupid and uninformed.//NO,1,0
301010,The methodoligy of implementation of their weel intention ideas always has to do with money nobody that I have hear from either party equate with [REDACTED NAME]'s money or [REDACTED NAME]'s money it's our money//,1,0
301014,"views on other things, gun laws taxes and what and how much should be given to who",1,0
301018,,1,0
301024,The part that they don't --it seems more like its their way than the American way.  They force issues that concern me.,1,0
301033,The thing I don't like about the Democratic Party is that they don't tend to reach to the other side of the aisle.,1,0
301047,everything//,1,0
301049,"way they've handled the military,veterans/budget isnot the best way/",1,0
301061,,1,0
301071,TO LIBERIAL,1,0
301086,,1,0
301093,"They come with saying different things but none of them have any idea about how they are going to raise te monety to pay for any of this, I don't know about you bujt I doi not remember anytihng extra coming home in my paycheck//You get a lot of educators strong behind the, but there are smart peple that coaling temselves a lot with the Democratic party but a lot is job security and we, I tink, that they also have to lookk at the greater good and we want to protect our familes and so forth ubt some of that basically is, we have to force our famlies to do the right thing to support our communities//",1,0
301094,corruption//falisfying the truth ingeneral or hiding the truth// thats referring to the election//,1,0
301100,They also don't represent the people. They are pushing toward socializm. Capitolism can't thrive when you are over taxed. They want the Govt to grow which is not constitutional. That's about it.,1,0
301101,they are way too liberal they want to incresase the size of government they want to increase taxes and they want to increase government spending//,1,0
301103,They chase the black vote..they chase what used to be the odd man out. Now that they gained the majority they pretty much chase the colored vote.//,1,0
301105,They aren't for the American people.  They want to do some things and take some stuff away..We need some of the stuff.//,1,0
301108,thier human rights stance/how they go about their social policies/,1,0
301110,,1,0
301116,Its like they are always trying to take our rights away.  Too much control over the government and the people.// They seem to be dishonest.,1,0
301121,They seem to care less about family values or more tradtional familyThey seem too quick about getting into national debt issues without having a way to deal with the debt//.,1,0
301122,Their health care initiatives and their tax care programs//,1,0
301125,THEY THAT TEY ARE TO LIBERAL,1,0
301131,,1,0
301141,"obama care , not building our military , international relationships, budget control, us decifent",1,0
301144,Hilary//Well we can go on and on but no.,1,0
301145,STANDS OON MARRIAGE THERE FEDERAL JUDGES IMIGRATION STANDS,1,0
301158,"It has to do more with the people that are the leaders,.I mean some of the things that the Democratic party believed in are fine but they are too extreme.//",1,0
301164,"their whole platform, the way they are about gays, liberals, abortion, taking God out of everything",1,0
301166,,1,0
301167,The gun control//the economy/the minimun wage//,1,0
301176,"more taxes, bigger government//",1,0
301189,"Their stance on gun control, their social and foreign policies.//",1,0
301190,Who they chose for president. //,1,0
301195,"don't like fact that we had obamacare forced on us. dont' feel like it was the riht plan at the right time. think healthcare needs to be changed but i don't think it was done the right way. start with the lawyers, don't agree with them. I think that's what's making our healthcare cost so high. what i need here i pay 3 xs more here than in [REDACTED DETAILS]. In [REDACTED DETAILS] I could get everything MRI, etc that i need for less.  I think it needs to be changed but think it started at the wrong place and ended up at the wrong place/",1,0
301201,"I don't think they are keeping the standards, by that they are not doing their job.//",1,0
301208,,1,0
301211,anti life//that is a big chunk of it,1,0
301226,promise things to voters and middle class and lower class just to get their votes and then forget about it//,1,0
301227,They are socialist. They both had the same goals . The democrats don't have the same goals as republicans and that has changed since we've been on the progressive path since woodrow Wilson. President Woodrow Wilson.// About disliking democrats? the biggest thing is they aren't democrats anymore. People are expecting cradle to grave entitlements with no thought of who is going to pay for it.//,1,0
301244,THE DEM PARTY HAS EVOLVED FROM THE PARTY THAT WAS FOR THE WORKING MAN INTO A POLITICAL POWER THAT SPEAKS OUT OF  BOTH SIDES OF THEIR MOUTHS AND IS HIGHLY HYPOCRITICAL AND NEVER ACCOUNTABLE FOR THERIR ACTIONS OR DEEDS AND ALL IN ALL CROOKED SOULESS AND A BUNCH OF LIARS//,1,0
301262,"their ideas of putting everyone in a single box, forcing everyone to get into healthcare, everyone is different and you cant expect it to work//not supportive of bussiness man, middle class, take more from the rich and give to the poor. the poor get poorer//",1,0
301264,"the're just wanting to give money away, they give more support to black lives matter tnan police//they're give too much free stuff to people, talk abaout getting something from govt and paying something back versus not paying anything back//",1,0
301274,devisiveness,1,0
301281,,1,0
301283,big government and tendency toward nanny state//idea goverment is solutio to everything,1,0
301285,n,1,0
301288,they do not have the american people at the forefront like they should//,1,0
301294,"I think they are turning our country into a group of, I want to say, entitled...socialist...like everybody is on the same level. If people want to work hard to achieve something, they want to take that away from them to pay for the people who want to work the system.// I'm sure there is, but I can't think.",1,0
301302,SOME BELIEVES I AGREE WITH SOME NOT BELIEVE IN,1,0
301305,,1,0
301308,Trying to take our guns away and change our constitution. \\,1,0
301313,Loose morals and values//better regulations on welfare//too close to socialism//,1,0
301314,Globalism and liberalism,1,0
301316,liberal policies//political correctness//,1,0
301317,I don't like their stance on partial birth abortion. I just don't believe they help the people they say they are going to help. I drive through [REDACTED CITY NAME] and see people living in squalor. Where are you democratic party. You are there to get their votes. They call to get my money and don't do what they say they are going to do. I think the democratic party lies to people and they use people especially the black people and they are finally realizing it and getting fed up with it and they are my friends.  //,1,0
301323,,1,0
301324,more liberal i'm definately conservative and i don't feel they hold the same values//,1,0
301337,LACK OF FISCAL RESPONSIBILITY AND LACK OF UNDERSTANDING OF THE FACT THAT THEY CANT KEEP GIVING AWAY MONEY THAT ISNT THERE.  IT IS IRRESPONSIBE.  AND THAT IS THE DILEMMA.  SO MANY PPL NEED HELP AND THE WAY THEY DO THINGS DONT GET TO THE RIGHT PEOPLE IN THE RIGHT WAY.. TO POLITICALLY MOTIVATED.,1,0
301342,lack of christian value,1,0
301344,sometimes i feel like they are slow as molasses and don't get things done like they should //,1,0
301345,that they are liars,1,0
301353,The healthcare reform.//Their more social agenda.//,1,0
301354,"believe they are moving the country to socialism, and one world government",1,0
301357,They let social issues drive their agenda//,1,0
301365,they have gotten us into the trouble we're in today.  they are like ...all these social and we're going to dfix this and where are they oigng to et the money from. they are going to spend my money// everything is too politically correct...i general and it's their fault.  their ideas that are driving a lot of that//,1,0
301366,I have strong feelings about some of the platform and I don't like big government// thier policies don't empower the American people but make them dependent on the government//,1,0
301367,its government policy. They want their hands in everything we do.,1,0
301368,That their focus is to strrive onmaking the American people dependant on government to secure their own democratic government for the future. They secure a culture of dependancy.//their focus on ethnic populations demonstrates a superiority as if Ethnic populations don't have the ability to rise above economic strifes I will use an example. The american indians...the government has provided them with so many handouts that we have their initiative and drive away by making it convenient to remain on reservations and the democratic governmennt has done a dis service by not recognizing the abilities of these ethnic cultures.//they don't allow the american people to move beyond stigmas that are virtually created by their own parties to continue to suppress minorities of all types.//I think that's pretty good.,1,0
301369,what obama has done about the coal decline in american worker rap the envirment up,1,0
301376,under democratic leadership we have been so far in debt we will never get out of it//,1,0
301404,dont like social platform//,1,0
301408,taxation thats all they do is tax tax tax,1,0
301419,,1,0
301433,WAY TOO LIBERAL//,1,0
301440,Taxes//,1,0
301446,"eerything, want to keep people poor. started out as a good thing, but cant make puppets out of everyone",1,0
301455,i dont agree wih them,1,0
301456,,1,0
301462,social views,1,0
301465,,1,0
301479,"wanting to change america to a socialist country taking away from the rich because they have been successful and giving it to those undeservant.  obama clinton and saunders approach to our policy on african americans, police, mexicans, law and order, rampages, burning of public property and disgraceful acts//",1,0
301482,"All the free handouts that they get to everybody.//It seems like they are pretty good at lying an changing people's words around and getting off the subject. If there is something reall bad happening in Hilary Clinton's life, they tend to make something up about Donald Trump so he looks bad.//",1,0
301489,"I believe that they have been coopted by the free shit army, the entitlement crowd.  I vehimately opposed income redisbtribution. //",1,0
301495,,1,0
301496,DEVICINESS,1,0
301498,"They are not stong view on imigration, they cater to the lazy and give people nondeserving thing they don't work for.//Their health care views, like social security money, and the way the handle terrorism.//",1,0
301527,lack of ability to do math,1,0
301528,They ar euntrustworthy. They are way too libersal. They talk about the environment. They are some of the richest people in the world. They enable people instead of encouraging people to get a job. I don't believe in giving handouts to people who have bad behavior and thats what the demoscratic party represents. They support issues//,1,0
301536,corruption in the leadership//they are a criminal organization mascareiter in a political party//they are very racist in the leadership level//they are very divisive at the leadership level//power hungry at the leadership level//anti-america at the leadership level//comtenptuoas of the people//poorly inform and leadership are incurable liars//,1,0
301551,Hillary Clinton//,1,0
301552,alot,1,0
301563,Unwilling to compromise.  Favors big government.//Pro Choice//Does not support people's constitutional rights.,1,0
301566,THE PATH THEY ARE TRYING TO TAKE OUR COUNTRY DOWN//,1,0
301570,THEY TAKE FOREVER TO GET ANYTHING DONE//,1,0
301590,,1,0
301594,I think that there are a lot of dishonest ones and I think they can be a bit impractical and naive//,1,0
301596,They're just crooked.//  They only answer to their lobbyists.  They are not for us.,1,0
301603,"Yeah, I think some of the some specific issues that I don't agree with. Um, and some of the foreign policy. //",1,0
